Company,Cluster,Industry
29183b964Cd#AE4,2,Utilities
4b79ebB0$32753d,14,Utilities
0bADe=44F0B983D,32,Utilities
2F306949@7a6F53,3,Utilities
3bd98!220EB8B57,3,Utilities
7+b738FF3235498,32,Utilities
1912eFD9Ad43$FD,34,Utilities
Be3E4e22fc1eF#B,32,Utilities
50c1e%122a72736,12,Utilities
7DcCC_aaFBF35FB,18,Utilities
CC690bF674+89dD,32,Utilities
5CB988ef4&878E8,6,Utilities
9c5298d!586B706,32,Utilities
86a7721e9&75b8b,3,Utilities
_96c9581EaaE440,14,Utilities
7F8!e0d27d48af4,32,Utilities
4B8c04&02112AbB,40,Utilities
7f7849AdC&d0E58,10,Utilities
6855B_53377dcbe,32,Utilities
0e60#AbC589BAfC,3,Utilities
4a3f191*225D267,9,Utilities
179e3Eb&7dD9FaC,32,Utilities
2A6080_79599bfc,7,Energy
745952d9854$277,32,Energy
7D88fE&7fC1A01D,32,Energy
A$31f33fE3cA5EE,34,Energy
4=1CDD9ba037c24,2,Energy
c266814B9_A3e00,31,Energy
24326375d73!89D,32,Energy
62017D2468f34+C,31,Energy
DAEb$0223a52E87,6,Energy
88&B07640d7653F,6,Energy
cD9c8#29Da315A1,6,Energy
54b9F30D-65A194,32,Energy
6EA6558E18&6377,32,Energy
63+32Aa3877A911,32,Energy
6626F043455C*41,15,Energy
3420=Bd70560378,6,Energy
88D3e9f&a84a9D3,32,Energy
5C379e3A9a1F7-3,32,Energy
a502-0182a214ff,3,Energy
1a75e4-990F3b11,32,Energy
a#2a76E0687785a,32,Energy
6eDB56&826283D6,6,Energy
9B690@e81A8166C,3,Energy
a84337*D57105A0,31,Energy
BFE42AF*9F39831,25,Energy
52722_b077b871b,14,Energy
1#F8EA93c14779e,2,Energy
c96BEBD0d683b@7,4,Energy
!2F59e7679aE6CE,32,Energy
19f901=B3F95803,32,Energy
57c2619!C1b99Ab,6,Energy
c3996526e6ABf*a,7,Energy
-6F457B1943F8F2,32,Energy
124945903&30Aa0,3,Energy
^78145D60112F3d,6,Energy
15*C614cd7E6244,32,Energy
b02615C5@470E33,31,Energy
d665c_ed5135C1d,6,Energy
E9=B55ca5719010,32,Energy
F2Ce87b3*80f6a4,3,Energy
44BD_3237C181ec,32,Energy
60a49400a057^9c,40,Energy
A5f33F2c&268389,40,Energy
3E9Cd17272^F36C,40,Energy
820C35FD40E$487,3,Energy
b1176C9B2Cc_75a,18,Energy
9e_70A9B114e984,32,Energy
6280d_ecF69f9c9,5,Energy
6d0Fc0C0bf15*65,3,Energy
5E5e1B92%cAf1F6,4,Energy
379F5d43F4097^2,32,Energy
E57C7Ddca#78FdE,32,Energy
054-B346A24a727,34,Energy
83Fbd21742D&3b1,3,Energy
be53934=d2Cfb8E,32,Energy
A728897FEf8^579,32,Energy
Ff_D197f6e48950,32,Energy
c^FE3ffc1700F98,32,Energy
32-3cb4c18DEc23,32,Energy
c1222e936b1F#05,32,Energy
86Dd6dfDE05$D8E,32,Energy
4E622D1$6124b54,32,Energy
69!013bEbF44A93,32,Energy
4483e176290^68c,40,Energy
564B2a9^6d007aE,32,Energy
D3eB51_A9cBD9eA,32,Energy
649a291d7D350_3,32,Energy
+95D7700b620199,12,Energy
dA26D26B5+e0e25,32,Energy
63959DA702510$7,28,Energy
31E71a1741b%C9a,32,Energy
83a&18376903CB9,2,Energy
CF3b04A7f5@B943,2,Technology
b397c0C5E2222A-,2,Technology
Cf7AFB2055d5a2+,6,Technology
1eB87!e4fcbFD09,6,Technology
%d26E2711c08E1c,10,Technology
39cd1fB9*13985F,2,Technology
46922f9A9!bc770,6,Technology
5+29961CFD59851,6,Technology
2b23_529c8F1e4A,3,Technology
474981872@34fb1,6,Technology
F34a59%9e6c72E8,2,Technology
e09c846e9c3&3c2,2,Technology
00E20dbb3&80D99,2,Technology
fB66+0006AD536E,5,Technology
71149bf+8a90C83,15,Technology
7CD67a98DCc299+,2,Technology
6350*E486fE430D,15,Technology
b20$49Cd95469Da,18,Technology
9e19ac49_3Dea65,5,Technology
2Acc3fA02$C9d14,8,Technology
2b97a242f1E@A49,7,Technology
923BC42A296$3A0,15,Technology
48-F6aae85B803b,2,Technology
6E8d^af2c379B4c,2,Technology
-2a0eC98009d084,6,Technology
A84bb3B33$5C06B,9,Technology
76D5b#4eA747bED,2,Technology
d9&26803c3D6aD0,2,Technology
F3=0D05E50C9fF3,2,Technology
383a40094c0C#a8,12,Technology
03Bb11C334ec@De,2,Technology
a39b@0ac19331A5,5,Technology
c52cC11*18ce32C,2,Technology
2f625eaa6e364#A,40,Technology
-cF9513bd7481f9,2,Technology
79384C0C5+81df4,2,Technology
14706D586713c+E,2,Technology
aFdA2e018B8d0A_,24,Technology
1a^A684A6E74Ade,6,Technology
9B161d07d4F261^,2,Technology
%9fcCFCc485c341,7,Technology
939D56f704cC16%,2,Technology
7F445+6B7608462,15,Technology
A51e19F197566*c,2,Technology
E3$2150394393bB,6,Technology
_055C53A6650F7f,7,Technology
4D60$D6C0249C08,2,Technology
8185fB429_bD049,6,Technology
DbaCD1187_49136,24,Technology
8C02D0Fb51d#10a,2,Technology
2cEB183_ED7980b,32,Technology
Bba051eB@dC6190,2,Technology
9%78dE004BCB63E,6,Technology
B1F33C621b58@F9,5,Technology
d184453F_88Ca46,2,Technology
-1a1562572C86E9,6,Technology
dd@496567a0755C,2,Technology
Ba4f8920E166-f4,14,Technology
41EE81bA47F4+6f,2,Technology
4015B@e85934536,34,Technology
AB0d0431!27E5C5,7,Technology
0e4b929bD^eCd8a,2,Technology
B2!1B690fF812a8,2,Technology
#013a9fED3176eA,8,Technology
45f0F79f&F8958e,2,Technology
E5ea5fb8%cCD6D8,6,Technology
10C6%2BD1F22445,2,Technology
59Cd4#cc51E34d7,2,Technology
37a0862b8D91cA=,2,Technology
E+1eD2758a570c7,9,Technology
%67B6c6e7a21605,5,Technology
1296A6Ed244#69e,6,Technology
bFBa3#9987DA378,14,Technology
3E039E461F5FF6&,2,Technology
Db7C37561_eaC0A,15,Technology
48Bd608C1747-71,31,Technology
0f=00E5477fb32f,31,Technology
1D944c8826b_339,28,Technology
CbA5A8%3d4218Aa,14,Technology
b13cA8e6281&DA8,2,Technology
cF1F696F7Be_1ca,6,Technology
%9DAd1B42322c41,2,Technology
Ff1=D7EDcF5C95E,6,Technology
2901eF&d51ef6a0,2,Technology
5B20Bc503D4_9f1,12,Technology
6c947eACCC62A$c,2,Technology
B99d-95F94d5dC6,31,Technology
358#013d8737309,6,Technology
5a&4eB5BB4Af75f,2,Technology
fD333Ca6*922558,2,Technology
3f3C17*a8C3EE6F,2,Technology
Ae5F12E*64c1bA4,6,Technology
ed1180F46c!1403,2,Technology
Ac5C3C98C_45fe6,2,Technology
A-97d6070fA76b4,32,Technology
505127AfBf4756_,8,Technology
D87814%B92370bC,2,Technology
